"zip5","zip_median_income_2021","zip_median_income_2021_moe","zip_gini_2021","zip_gini_2021_moe","zip_population_2021","zip_population_2021_moe"
"01537",61514,17423,0.3291,0.0337,1775,538
"01540",110195,24154,0.3624,0.0376,11529,543
"01541",148438,20372,0.3807,0.0393,3502,25
"01542",88295,26493,0.4053,0.0779,2667,561
"01543",132000,19672,0.3362,0.0363,8988,18
"01545",117909,9505,0.4149,0.0224,38291,66
"01550",50414,5766,0.458,0.024,17643,44
"01560",89779,17179,0.416,0.035,4773,469
"01561",NA,NA,NA,NA,69,109
"01562",68559,14975,0.429,0.0418,11963,19
"01564",119000,31222,0.4363,0.0453,8015,14
"01566",105417,22565,0.3715,0.0301,6507,474
"01568",141250,27484,0.4129,0.0502,7826,153
"01569",115304,9874,0.3512,0.0253,13948,344
"01570",64305,7415,0.4518,0.0285,17664,31
"01571",75465,11494,0.4096,0.0365,11890,21
"01581",118185,9070,0.4501,0.0228,21213,44
"01583",94464,11267,0.431,0.0406,7607,88
"01585",71667,35503,0.4541,0.0517,4864,499
"01588",81438,9592,0.4263,0.0375,10206,707
"01590",123542,9208,0.4237,0.0457,9219,130
"01602",76287,7530,0.4736,0.0298,26711,1674
"01603",53166,6020,0.4819,0.0273,20184,1467
"01604",63107,3273,0.4329,0.0257,40961,1887
"01605",45709,5192,0.4899,0.0239,30353,1828
"01606",74765,6889,0.4312,0.0308,22883,1417
"01607",57880,8566,0.4462,0.0538,8836,1112
"01608",37962,3025,0.5134,0.0522,4782,873
"01609",49333,6968,0.5518,0.0296,23509,1756
"01610",35642,4351,0.4847,0.023,26057,1582
"01611",103405,32275,0.356,0.0621,2209,404
"01612",123958,23693,0.3587,0.0359,5005,19
"01701",120811,10383,0.4177,0.0219,33319,1388
"01702",71602,5861,0.4925,0.024,38842,1392
"01718",173000,133383,0.2983,0.1192,767,339
"01719",136875,20441,0.4238,0.0337,5471,27
"01720",138220,8920,0.4516,0.0246,23107,347
"01721",115959,9637,0.4113,0.0276,18646,36
"01730",140647,24577,0.45,0.0572,14233,46
"01731",105909,18376,0.3144,0.0508,1917,494
"01740",167132,26753,0.3627,0.0366,5606,32
"01741",216000,26508,0.4317,0.0362,5215,27
"01742",168934,9125,0.471,0.0301,18393,79
"01745",148207,37090,0.4358,0.1564,538,176
"01746",142339,8170,0.4174,0.0353,14386,268
"01747",113300,11951,0.4007,0.041,6012,16
"01748",179192,22319,0.4419,0.031,18501,27
"01749",94191,6457,0.4334,0.0283,20032,24
"01752",86230,7556,0.4267,0.019,41505,23
"01754",112432,13365,0.4207,0.0308,10702,22
"01756",133850,41933,0.3904,0.046,6212,31
"01757",89273,6587,0.3983,0.0198,30294,160
"01760",123109,9450,0.4507,0.0219,36354,130
"01770",218906,43552,0.4428,0.048,4406,21
"01772",173056,16281,0.4772,0.0372,9842,177
"01773",172891,36380,0.5417,0.0406,5155,492
"01775",147841,10148,0.3941,0.0489,7130,22
"01776",217847,10901,0.3979,0.0254,18912,36
"01778",203125,33132,0.4307,0.0308,14060,99
"01801",95184,4455,0.4386,0.0186,40967,31
"01803",124755,8607,0.4324,0.026,26234,24
"01810",155252,10230,0.4427,0.0155,35600,240
"01821",126146,6438,0.3472,0.0206,31499,1054
"01824",130215,11455,0.3912,0.0215,26574,959
"01826",94882,6981,0.399,0.0242,32313,111
"01827",177803,18464,0.3489,0.0382,3369,29
"01830",66052,6427,0.4495,0.0241,27403,1253
"01832",70910,5949,0.4194,0.021,25526,1350
"01833",130240,19760,0.3947,0.03,8384,52
"01834",121711,15217,0.3329,0.0307,6739,18
"01835",92880,5915,0.3897,0.0353,14164,988
"01840",28347,5707,0.4841,0.0506,6814,772
"01841",47527,3211,0.4484,0.031,53180,1576
"01843",61362,9038,0.4591,0.0387,27804,1577
"01844",87181,6856,0.4363,0.0221,52502,88
"01845",120954,8061,0.4639,0.0229,31394,243
"01850",59571,5515,0.412,0.0344,16438,1426
"01851",72133,4494,0.4427,0.0284,32469,1606
"01852",68256,5644,0.441,0.0182,36740,1616
"01854",58422,6537,0.49,0.0296,29157,1639
"01860",88832,23350,0.3862,0.0373,6698,21
"01862",106964,17612,0.3563,0.04,10719,1075
"01863",108427,16319,0.3571,0.0311,9697,957
"01864",123813,17866,0.4609,0.058,15549,30
"01867",145471,8649,0.402,0.0249,25511,47
"01876",112917,8785,0.3778,0.0238,30930,180
"01879",130509,19367,0.4048,0.0452,12454,87
"01880",110878,10734,0.4351,0.0261,27179,158
"01886",161076,10444,0.3749,0.021,24535,27
"01887",146250,10703,0.3707,0.0284,23311,24
"01890",184844,15562,0.4746,0.0212,22875,34
"01901",24207,11038,0.5426,0.0726,2291,582
"01902",53802,6714,0.4775,0.0225,51008,2096
"01904",94006,9955,0.3898,0.0219,19912,1627
"01905",64885,10545,0.4447,0.0216,26962,1769
"01906",93737,4392,0.4282,0.0351,28521,24
"01907",112668,20936,0.4984,0.0534,15183,153
"01908",99456,3891,0.4864,0.068,3354,17
"01913",87433,8811,0.4418,0.0247,17286,24
"01915",89076,6680,0.4835,0.0271,41545,648
"01921",186899,21645,0.4256,0.0496,8265,50
"01922",193667,83667,0.3577,0.0536,3929,638
"01923",105654,11246,0.4086,0.0235,27789,63
"01929",115670,13850,0.4302,0.0574,3650,45
"01930",82984,4116,0.4556,0.0181,29814,25
"01937",NA,NA,NA,NA,177,43
"01938",111701,11426,0.5327,0.0564,13740,33
"01940",144116,18898,0.4629,0.0413,13023,95
"01944",193279,25632,0.3994,0.0556,5382,27
"01945",154049,9820,0.4696,0.0218,20397,33
"01949",155482,17076,0.4283,0.0489,9726,26
"01950",115807,20635,0.4669,0.0289,18282,23
"01951",122344,32554,0.4137,0.0663,2816,633
"01952",92048,16170,0.4266,0.0462,9152,25
"01960",83539,2765,0.4434,0.0214,54051,124
"01965",223570,71741,0.2934,0.2676,903,646
"01966",88377,10371,0.4447,0.0317,7014,15
"01969",124196,12471,0.4575,0.0744,6135,39
"01970",72994,3704,0.4649,0.0208,44372,123
"01982",116955,19513,0.4492,0.0368,7641,44
"01983",155208,28719,0.3972,0.0398,6530,21
"01984",154375,25794,0.463,0.0563,5006,19
"01985",164250,24790,0.39,0.0643,4500,17
"02019",109042,7078,0.374,0.0293,16934,42
"02021",118814,9344,0.4373,0.0226,24122,32
"02025",156689,32822,0.517,0.0418,8295,26
"02026",108047,3844,0.4478,0.0202,25308,27
"02030",250001,NA,0.4593,0.0442,5894,22
"02032",161292,41611,0.3582,0.0482,4878,696
"02035",95410,7663,0.5144,0.0474,18431,22
"02038",127608,7867,0.4006,0.0229,33057,57
"02043",154300,18203,0.5235,0.0258,24061,22
"02045",117120,9286,0.4284,0.0227,10120,27
"02047",93309,46411,0.3997,0.1911,187,168
"02048",122274,10495,0.4077,0.0256,23768,26
"02050",109524,7006,0.4299,0.0311,25841,79
"02052",196820,29089,0.4703,0.0318,12775,21
"02053",147276,16185,0.4422,0.0453,13610,267
"02054",131138,9747,0.3774,0.0549,8481,30
"02056",168281,15862,0.3655,0.0288,11531,46
"02061",172022,12431,0.3861,0.0296,11258,19
"02062",96414,9534,0.471,0.0259,31256,29
"02066",132639,17518,0.4758,0.035,18781,181
"02067",157928,8843,0.4289,0.0318,18477,36
"02071",183894,20436,0.2186,0.1286,1248,747
"02072",94823,8817,0.4002,0.0222,29028,57
"02081",129972,9493,0.4249,0.0289,20287,919
"02090",171071,16749,0.452,0.0349,16066,39
"02093",147201,11432,0.3979,0.0246,12077,50
"02108",151793,45491,0.5589,0.0418,4225,574
"02109",156351,28999,0.4795,0.0464,3627,594
"02110",123942,62764,0.6104,0.0468,2307,451
"02111",65587,17482,0.6413,0.0598,7841,850
"02113",100613,7183,0.4618,0.0685,6726,786
"02114",118125,11435,0.5031,0.0303,13401,995
"02115",47486,5727,0.6285,0.0251,28559,1762
"02116",121967,8500,0.6019,0.024,22587,1089
"02118",71096,9662,0.6184,0.0208,27718,1402
"02119",34987,6530,0.5565,0.0345,28307,1685
"02120",50728,7781,0.5019,0.028,15082,1569
"02121",40732,7490,0.5366,0.0257,29888,2160
"02122",77081,8730,0.4761,0.0293,23747,1961
"02124",65683,5763,0.4973,0.0183,56070,2548
"02125",60612,7751,0.5266,0.0205,32614,1551
"02126",61180,8796,0.4844,0.047,25572,1706
"02127",131782,10105,0.4594,0.0196,35266,1824
"02128",71630,4353,0.473,0.0193,45501,2397
"02129",140534,8138,0.4688,0.0228,20411,1065
"02130",106153,3665,0.4566,0.0177,41112,1853
"02131",93601,4045,0.4444,0.0198,32609,1632
"02132",114596,8018,0.4306,0.0207,26437,1405
"02133",NA,NA,NA,NA,0,13
"02134",70021,5151,0.448,0.0199,18437,1569
"02135",85792,5385,0.4346,0.0284,45024,2122
"02136",81859,8995,0.4622,0.0351,40947,2096
"02138",108692,7808,0.5143,0.0224,39370,1733
"02139",113374,6437,0.4862,0.0196,39707,1166
"02140",119827,12807,0.4743,0.0256,20060,1215
"02141",96563,16077,0.4766,0.0279,13953,926
"02142",137723,19547,0.5001,0.0483,4172,532
"02143",111201,8083,0.4245,0.0216,25264,1183
"02144",117601,10691,0.4422,0.0193,25367,1411
"02145",99035,7056,0.4171,0.0261,27359,1100
"02148",77082,5106,0.4533,0.026,65386,215
"02149",71574,6454,0.4504,0.0285,48584,227
"02150",64688,5189,0.447,0.0177,40009,53
"02151",72971,5330,0.4575,0.0208,60736,97
"02152",86780,7974,0.4347,0.025,19088,22
"02155",107937,5063,0.4384,0.0246,62996,430
"02163",67292,23874,0.5328,0.0842,2198,338
"02169",80087,5422,0.4244,0.0145,60459,1479
"02170",92052,5586,0.4153,0.0293,20130,1241
"02171",90558,14180,0.4616,0.0278,19923,1107
"02176",125000,12335,0.4206,0.0225,29401,163
"02180",105541,9261,0.4194,0.0177,23077,30
"02184",114916,8701,0.4157,0.0193,38712,30
"02186",154125,11288,0.4522,0.0258,28414,59
"02188",98327,14736,0.4091,0.0319,16169,1188
"02189",80020,7118,0.4179,0.0325,15265,996
"02190",93988,13675,0.3781,0.0239,17927,978
"02191",95846,7953,0.3683,0.041,7856,641
"02199",106182,41388,0.5923,0.0867,1232,275
"02203",NA,NA,NA,NA,0,13
"02205",NA,NA,NA,NA,0,13
"02210",160000,29353,0.4962,0.0457,4830,442
"02215",58466,9404,0.5667,0.0347,25856,1230
"02301",65275,3253,0.462,0.0249,68571,1698
"02302",75280,5071,0.4374,0.0342,35645,1698
"02322",127953,37944,0.3379,0.0541,4740,25
"02324",107932,9311,0.3964,0.0346,25245,348
"02325",22708,11309,0.4491,0.2478,3082,358
"02330",61811,5874,0.4264,0.0259,11641,26
"02332",130260,15141,0.4677,0.0305,16004,37
"02333",110924,14387,0.4596,0.106,14403,98
"02338",98264,18071,0.4089,0.0539,7737,25
"02339",149048,10963,0.4198,0.0386,14742,24
"02341",113500,15191,0.4291,0.0687,10419,120
"02343",89580,11162,0.3623,0.0332,11309,60
"02346",81809,4919,0.4487,0.0737,24219,40
"02347",112240,7415,0.3761,0.0233,11514,28
"02350",NA,NA,0.4644,0.1674,182,118
"02351",113155,10730,0.3792,0.0249,16974,26
"02356",114682,12335,0.4626,0.0329,11943,749
"02357",NA,NA,NA,NA,1582,401
"02359",130015,12532,0.3724,0.0279,18329,24
"02360",97956,4701,0.4436,0.0167,60793,63
"02364",103945,14185,0.394,0.0339,13618,22
"02366",NA,NA,NA,NA,194,51
"02367",118098,21697,0.4333,0.0626,2934,26
"02368",87985,7530,0.4522,0.0312,34696,70
"02370",90315,10952,0.3976,0.0298,17774,25
"02375",110549,10017,0.428,0.0363,11437,738
"02379",111964,5594,0.3778,0.0342,7622,35
"02382",94919,7163,0.378,0.0296,15116,28
"02420",215303,24253,0.4503,0.0235,15451,828
"02421",191140,15706,0.4445,0.0254,18784,834
